distance_to_cell_km,rsrp_dbm,rssi_dbm,rsrq_db,sinr_db,interference_dbm,network_load_pct,connected_users,handovers_last_hr,signal_quality_score,signal_quality_label
0.356,-96.48,-80.49,-16.79,-7.41,-96.98,33.7,41.0,3,29.02,Poor
0.092,-89.47,-70.06,-19.5,4.75,-97.25,56.27,50.0,1,30.86,Poor
1.572,-108.71,-90.23,-18.05,-10.0,-99.43,33.58,44.0,4,28.48,Poor
0.672,-101.78,-84.18,-18.23,-8.88,-98.7,51.79,51.0,4,27.47,Poor
1.262,-104.83,-84.76,-19.5,-8.42,-101.65,41.82,45.0,1,23.48,Poor
1.013,-106.62,-87.48,-17.51,-10.0,-102.38,36.39,44.0,3,19.39,Poor
0.41,-95.94,-78.81,-18.47,-4.53,-93.84,76.83,65.0,1,31.22,Poor
1.147,-106.53,-91.64,-13.12,-6.24,-106.06,8.24,24.0,2,36.36,Fair
0.042,-77.93,-62.39,-17.16,11.83,-95.35,75.12,67.0,1,46.48,Fair
0.098,-83.61,-70.01,-14.12,6.94,-94.61,61.54,59.0,3,48.87,Fair
0.021,-70.62,-52.2,-17.06,25.8,-104.33,26.63,29.0,0,66.11,Good
0.177,-85.97,-70.55,-16.86,10.7,-101.68,52.68,52.0,6,50.08,Fair
0.221,-91.43,-74.91,-16.75,4.47,-100.79,49.22,48.0,2,40.62,Fair
0.142,-88.53,-70.92,-19.42,18.44,-107.69,7.04,20.0,1,48.82,Fair
0.794,-102.73,-81.6,-19.5,-3.51,-107.14,15.51,28.0,1,24.32,Poor
0.199,-92.86,-72.07,-19.5,,-98.75,38.49,51.0,1,31.74,Poor
0.148,-88.93,-71.09,-18.18,13.19,-107.36,12.62,40.0,1,52.54,Fair
0.352,-86.83,-65.04,-19.5,10.4,-101.7,32.04,41.0,3,50.57,Fair
0.068,-84.47,-72.51,-12.34,3.4,-94.01,56.8,54.0,1,42.95,Fair
0.729,-102.38,-78.75,-19.5,-4.42,-102.52,43.55,57.0,3,32.63,Poor
0.035,-76.64,-56.57,-19.42,25.98,-107.07,31.84,48.0,1,60.08,Good
1.95,-110.8,-92.49,-18.18,-10.0,-99.2,31.29,44.0,6,25.17,Poor
0.666,-101.8,-86.48,-15.07,-3.04,-104.72,34.89,44.0,4,30.66,Poor
0.1,-82.94,-66.26,-17.63,18.97,-107.85,37.79,41.0,2,47.76,Fair
0.02,-77.29,-57.46,-19.5,9.64,-90.15,66.45,60.0,1,42.42,Fair
0.76,-97.48,-77.59,-19.5,1.34,-104.76,33.56,43.0,0,26.51,Poor
0.552,-96.33,-76.32,-19.5,6.89,-106.72,12.35,29.0,2,43.63,Fair
0.588,-104.37,-88.55,-15.67,-10.0,-97.43,47.97,45.0,3,26.51,Poor
0.664,-109.53,-94.32,-15.24,-10.0,-87.83,63.4,45.0,0,16.57,Poor
0.035,-78.94,,-17.22,28.26,-111.19,12.98,25.0,1,62.23,Good
0.2,-91.02,-70.71,-19.0,-1.16,-95.26,49.81,47.0,3,32.7,Poor
0.055,-68.71,-50.7,-19.08,21.79,-96.36,56.33,54.0,1,57.53,Good
0.895,-100.87,-78.43,-19.5,-10.0,-95.38,38.24,49.0,1,17.46,Poor
0.439,-104.11,-86.01,-19.5,-10.0,-98.01,44.51,45.0,2,25.19,Poor
0.181,-91.95,-73.95,-17.67,7.76,-106.7,21.4,38.0,3,39.42,Fair
0.03,-73.91,-53.9,-19.5,7.76,-90.11,81.92,,1,37.75,Fair
0.168,-87.52,-65.87,-19.5,-6.95,-87.43,70.23,87.0,1,27.15,Poor
0.177,-94.27,-80.31,-11.62,4.23,-102.66,29.21,32.0,1,52.92,Fair
0.589,-99.95,-85.3,-14.37,-10.0,-92.25,76.45,74.0,4,30.78,Poor
0.457,-100.08,-83.02,-17.44,-10.0,-88.68,73.0,56.0,2,21.09,Poor
0.982,-108.27,-80.79,-19.5,-5.67,-109.59,7.33,28.0,0,24.95,Poor
0.288,-92.17,-74.95,-16.86,11.24,-106.22,20.81,36.0,0,49.56,Fair
0.057,-76.22,-58.59,-18.74,14.77,-92.2,74.78,64.0,3,47.2,Fair
0.562,-95.65,-75.79,-19.5,4.23,-101.18,22.2,39.0,1,34.75,Poor
0.644,-97.89,-76.96,-19.5,-0.67,-99.21,45.19,50.0,2,26.87,Poor
0.371,-97.39,-78.89,-19.21,-0.43,-100.76,25.77,55.0,1,32.96,Poor
0.663,-97.59,-76.1,-19.5,-10.0,-92.45,76.01,68.0,2,12.32,Poor
0.306,-92.52,-78.1,-14.86,15.54,-109.47,4.8,21.0,2,53.06,Fair
0.333,-93.94,-78.23,-15.46,7.24,-106.86,23.75,36.0,2,51.36,Fair
0.251,-94.48,-72.99,-19.5,15.72,-115.1,9.34,25.0,1,58.6,Good
0.02,-72.43,,-16.64,24.34,-102.49,33.33,41.0,2,62.43,Good
0.051,-78.09,-63.87,-12.82,12.64,-98.1,51.65,51.0,2,50.11,Fair
0.02,-60.68,,-13.92,30.0,-100.84,28.27,,2,71.04,Good
0.455,-95.98,-80.41,-15.42,-10.0,-88.53,84.08,84.0,3,27.01,Poor
0.17,-91.1,-73.09,-17.56,-6.13,-87.86,86.58,73.0,1,35.49,Fair
0.32,-97.45,-78.05,-19.09,6.82,-109.02,12.55,33.0,3,46.39,Fair
1.072,-106.58,-89.56,-17.98,-10.0,-94.53,52.03,44.0,3,26.89,Poor
0.129,-77.57,-58.42,-18.43,9.37,-92.99,57.03,50.0,0,44.92,Fair
0.238,-93.16,-76.47,-16.3,-0.44,-100.14,63.42,53.0,2,30.63,Poor
0.634,-96.43,-74.76,-19.5,-3.18,-97.82,51.24,48.0,2,25.92,Poor
0.117,-86.93,-61.28,-19.5,12.07,-103.45,39.9,43.0,2,41.66,Fair
0.036,-74.33,-57.51,-16.88,13.74,-92.4,62.74,59.0,0,53.78,Fair
0.154,-84.64,-65.2,-19.5,20.67,-109.44,4.54,25.0,0,58.18,Good
0.079,-84.36,-65.17,-19.38,12.58,-102.33,36.35,49.0,1,48.23,Fair
1.195,-108.12,-89.7,-19.5,-8.56,-106.93,7.62,13.0,3,23.37,Poor
0.743,-94.79,-74.84,-19.5,-10.0,-84.32,89.59,67.0,3,22.12,Poor
0.452,-93.18,-73.74,-19.5,0.29,-101.1,46.67,52.0,1,38.14,Fair
0.923,-100.15,-83.57,-16.79,-8.29,-97.05,34.96,40.0,3,27.1,Poor
0.733,-98.16,-76.21,-19.5,-10.0,-94.89,57.59,,1,16.68,Poor
0.093,-81.62,-63.01,-18.04,20.78,-107.11,16.64,25.0,1,61.28,Good
1.004,-95.97,-79.13,-16.19,6.28,-106.41,27.23,39.0,1,39.41,Fair
0.349,-94.7,-69.37,-19.5,3.24,-104.9,26.43,38.0,0,34.97,Poor
0.741,-99.1,-81.45,-16.31,-6.11,-100.09,21.88,25.0,3,31.84,Poor
1.019,-109.97,-91.21,-18.58,-10.0,-100.32,51.54,50.0,4,15.6,Poor
0.172,-92.07,-73.55,-18.65,-1.68,-94.86,53.62,55.0,0,37.71,Fair
0.052,-83.36,-65.75,-16.95,11.24,-97.89,60.87,57.0,1,48.28,Fair
0.116,-80.3,-60.95,-18.55,20.19,-103.85,18.84,37.0,3,60.89,Good
0.251,-102.23,-86.76,-15.48,-5.39,-100.96,33.12,46.0,1,30.79,Poor
0.767,-103.31,-83.52,-19.5,-10.0,-92.42,51.45,40.0,0,19.7,Poor
0.887,-114.94,-102.22,-13.98,-10.0,-100.74,45.89,40.0,1,19.84,Poor
0.02,-73.77,-59.66,-15.39,27.85,-105.07,21.16,38.0,3,65.94,Good
0.322,-96.14,-72.66,-19.5,-8.58,-91.51,86.58,73.0,2,12.3,Poor
0.243,-86.21,-71.98,-16.22,8.36,-99.35,35.87,40.0,1,49.43,Fair
0.113,-83.55,-71.43,-13.43,13.84,-100.44,31.45,37.0,3,63.27,Good
0.057,-82.67,-68.36,-15.73,23.04,-109.64,13.06,32.0,3,63.82,Good
0.185,-85.14,-61.92,-19.5,20.78,-111.97,28.47,44.0,1,55.3,Good
1.288,-106.14,-93.51,-13.55,-7.09,-103.11,41.9,51.0,4,27.51,Poor
0.176,-88.79,-73.66,-16.39,,-112.3,19.26,23.0,0,49.31,Fair
0.329,-99.19,-85.56,-15.48,5.7,-110.15,11.35,31.0,3,46.28,Fair
0.546,-102.73,-85.55,-17.29,-1.55,-106.51,28.85,29.0,1,36.12,Fair
0.203,-93.51,-76.82,-17.86,5.72,-103.74,24.36,29.0,3,42.83,Fair
1.606,-107.93,-91.37,-17.6,-10.0,-95.46,64.69,60.0,2,22.99,Poor
1.477,-107.08,-83.51,-19.5,-10.0,-103.37,30.04,40.0,3,16.59,Poor
0.131,-80.2,-65.8,-13.81,27.62,-108.69,7.21,30.0,0,71.31,Good
0.309,-92.3,-74.61,-18.38,4.74,-100.67,36.42,42.0,2,32.99,Poor
0.161,-99.02,-80.01,-19.31,-2.42,-103.41,28.96,28.0,1,35.62,Fair
0.151,-86.58,-71.52,-12.5,4.5,-93.66,65.52,46.0,2,45.98,Fair
0.02,-76.24,-56.78,-19.5,14.21,-94.78,65.61,59.0,2,41.27,Fair
0.423,-100.42,-83.62,-17.6,-9.42,-100.67,39.83,48.0,2,30.21,Poor
0.314,-97.22,-78.1,-19.46,-1.42,-102.44,49.76,62.0,1,17.52,Poor
0.024,-74.54,-56.86,-18.23,17.31,-97.92,71.05,65.0,1,52.89,Fair
0.147,-92.9,-81.06,-12.75,-3.52,-94.3,57.99,66.0,0,42.85,Fair
1.075,-103.82,-81.9,-19.5,-10.0,-94.92,65.06,58.0,2,19.9,Poor
0.123,-91.53,-67.32,-19.5,-2.21,-96.87,44.88,54.0,3,31.53,Poor
0.07,-79.65,-62.18,-16.86,13.16,-99.44,36.02,37.0,2,45.63,Fair
0.303,-84.7,-69.39,-15.0,10.51,-102.82,31.35,50.0,5,49.22,Fair
1.91,-114.94,-92.42,-19.5,-10.0,-105.46,17.91,25.0,6,31.78,Poor
0.125,-87.13,-63.45,-19.5,,-90.65,66.51,51.0,2,21.98,Poor
0.502,-108.12,-90.63,-16.83,-9.18,-101.54,32.65,25.0,2,23.16,Poor
0.645,-101.41,-84.07,-17.89,-1.69,-105.65,15.85,31.0,3,33.45,Poor
0.122,-83.23,-65.47,-19.07,11.15,-100.37,59.37,50.0,0,52.88,Fair
0.586,-96.49,-83.52,-12.87,-5.25,-95.27,58.56,61.0,1,39.37,Fair
0.206,-90.02,-72.9,-17.67,2.5,-97.43,26.61,27.0,4,39.86,Fair
0.45,-93.53,-70.39,-19.5,-5.48,-90.03,78.18,60.0,0,22.89,Poor
0.452,-86.93,-69.44,-16.83,7.83,-97.42,36.21,48.0,1,49.56,Fair
0.345,-87.94,-73.06,-16.35,4.97,-97.21,46.83,46.0,0,44.3,Fair
0.043,-78.88,-59.39,-18.67,24.95,-108.26,11.36,,1,64.06,Good
0.812,-108.0,-92.0,-15.4,-5.19,-106.15,14.01,30.0,3,41.75,Fair
0.174,-90.49,-72.69,-17.87,-4.61,-87.47,67.65,65.0,2,26.6,Poor
0.093,-87.24,-73.05,-14.26,5.59,-98.81,21.2,38.0,2,45.51,Fair
0.02,-68.64,-53.75,-14.85,28.59,-105.54,18.13,41.0,3,66.53,Good
0.402,-100.84,-80.62,-19.5,-10.0,-97.12,66.12,55.0,3,25.21,Poor
0.509,-98.45,-80.1,-19.5,1.69,-105.56,7.7,26.0,4,31.74,Poor
0.02,-67.09,-51.42,-16.66,29.52,-101.19,27.85,52.0,0,72.32,Good
0.323,-94.61,-76.25,-18.88,1.44,-102.74,23.85,32.0,1,38.06,Fair
0.116,-89.12,-72.94,-14.55,12.24,-107.05,15.36,30.0,4,51.76,Fair
0.466,-92.69,-77.04,-15.66,14.72,-113.15,5.99,26.0,2,53.9,Fair
0.086,-90.33,-68.84,-19.5,,-102.57,40.64,39.0,3,42.95,Fair
0.528,-99.79,-79.44,-19.5,-6.76,-100.12,46.13,50.0,3,23.94,Poor
0.22,-91.06,-73.12,-16.64,-3.01,-92.21,63.96,52.0,2,32.76,Poor
1.242,-105.83,-87.39,-19.26,-6.62,-104.51,37.41,42.0,3,22.65,Poor
0.067,-79.87,-61.9,-17.85,14.75,-98.08,45.11,51.0,0,50.66,Fair
0.188,-87.07,-67.61,-19.5,14.07,-107.46,44.56,44.0,1,45.03,Fair
0.054,-78.98,-63.38,-14.48,5.86,-88.87,57.31,55.0,2,40.06,Fair
1.164,-106.8,-86.21,-18.33,-10.0,-98.91,36.29,40.0,5,31.61,Poor
0.944,-105.14,-86.08,-18.58,-10.0,-96.39,60.84,50.0,6,20.13,Poor
0.134,-89.07,-71.86,-18.18,6.27,-99.14,37.59,37.0,3,42.0,Fair
0.485,-94.59,-78.05,-16.39,6.56,-107.87,16.98,39.0,4,51.11,Fair
0.765,-104.27,-83.74,-19.5,-10.0,-95.93,60.37,48.0,3,19.68,Poor
0.365,-91.87,-74.32,-17.29,-1.06,-99.45,55.14,51.0,1,41.03,Fair
0.339,-94.56,-78.66,-16.52,-0.15,-99.82,27.11,39.0,3,45.94,Fair
0.125,-88.06,-71.22,-18.44,5.51,-102.76,20.99,35.0,2,44.88,Fair
0.044,-74.59,-54.28,-19.5,16.55,-97.04,41.5,52.0,4,59.31,Good
1.024,-107.12,-93.95,-14.12,-10.0,-92.87,49.45,45.0,3,30.6,Poor
1.038,-101.78,-84.85,-18.39,-10.0,-88.75,75.33,69.0,2,26.61,Poor
0.451,-96.26,-75.04,-19.5,-6.03,-96.05,70.14,53.0,1,31.21,Poor
0.186,-91.84,-74.34,-17.96,9.29,-102.24,37.23,49.0,3,39.64,Fair
0.193,-87.66,-68.84,-17.44,6.99,-99.94,45.94,36.0,1,41.12,Fair
0.583,-97.13,-75.87,-19.5,-9.81,-90.13,86.95,58.0,3,15.69,Poor
1.023,-99.58,-78.9,-19.5,5.13,-107.55,15.78,36.0,0,36.29,Fair
0.982,-99.98,-83.3,-17.34,-3.82,-102.35,41.74,40.0,2,32.46,Poor
0.681,-98.71,-81.1,-15.9,-6.99,-96.24,30.71,41.0,2,30.66,Poor
0.462,-101.83,-81.11,-19.5,-2.89,-102.35,31.9,37.0,2,33.53,Poor
0.04,-66.37,-45.55,-19.5,16.78,-92.36,65.7,49.0,1,51.93,Fair
0.079,-87.71,-69.98,-17.46,-1.12,-90.22,71.18,50.0,0,33.44,Poor
1.03,-100.47,-82.63,-15.95,-9.94,-95.28,44.96,56.0,3,27.89,Poor
0.42,-94.75,-75.95,-19.5,3.5,-100.63,30.11,28.0,2,31.82,Poor
0.02,-75.14,-53.04,-19.5,18.49,-98.32,48.97,49.0,2,52.82,Fair
0.048,-78.33,-57.12,-19.5,7.65,-92.56,66.4,53.0,1,37.99,Fair
0.49,-98.14,-78.06,-19.5,-5.77,-98.04,52.72,59.0,2,29.42,Poor
0.02,-65.22,-50.46,-15.72,30.0,-99.64,40.13,47.0,0,71.58,Good
0.079,-84.9,-67.73,-16.49,1.53,-95.2,42.91,31.0,0,39.94,Fair
0.358,-96.15,-78.82,-17.84,14.29,-113.22,5.6,22.0,2,43.98,Fair
0.53,-107.84,-85.59,-19.5,-10.0,-91.78,58.51,73.0,2,10.52,Poor
0.475,-90.61,-73.33,-16.89,0.82,-98.22,45.21,55.0,0,39.45,Fair
0.114,-89.52,-67.76,-19.5,10.51,-105.88,29.66,39.0,1,45.33,Fair
0.56,-97.68,-81.39,-18.44,0.22,-104.86,21.32,33.0,1,43.4,Fair
0.122,-86.19,-69.67,-16.52,13.95,-104.78,33.33,33.0,3,46.62,Fair
0.177,-89.41,-69.96,-19.5,5.7,-102.77,29.55,30.0,0,42.47,Fair
0.618,-96.59,-73.88,-19.5,-1.24,-100.42,43.83,48.0,2,33.44,Poor
0.472,-90.81,-73.45,-17.17,-2.77,-93.8,59.73,59.0,2,29.22,Poor
0.851,-101.61,-91.29,-11.61,-4.31,-100.31,48.59,58.0,2,40.12,Fair
0.482,-95.06,-81.76,-13.98,5.47,-106.72,16.39,33.0,0,40.89,Fair
0.378,-94.26,-75.36,-17.56,9.45,-106.84,7.82,25.0,1,49.93,Fair
0.044,-73.04,-59.47,-13.44,21.79,-95.01,61.22,47.0,0,53.43,Fair
0.206,-92.18,-76.78,-14.33,3.96,-102.18,29.99,38.0,3,46.89,Fair
0.139,-82.6,-64.56,-17.83,7.64,-96.46,45.23,44.0,2,45.39,Fair
0.126,-81.62,-70.97,-10.44,9.78,-99.16,60.03,68.0,1,54.79,Fair
1.626,-103.9,-87.03,-17.05,-10.0,-95.05,44.23,58.0,2,27.99,Poor
0.225,-93.71,-79.21,-16.23,-1.28,-98.53,54.08,55.0,2,37.41,Fair
1.002,-104.7,-91.19,-13.02,-10.0,-101.64,44.13,39.0,6,27.48,Poor
0.449,-96.1,-80.51,-15.24,8.61,-108.44,7.51,28.0,2,53.0,Fair
0.713,-106.55,-91.76,-14.65,-10.0,-96.17,64.98,64.0,4,24.46,Poor
0.314,-87.59,-68.19,-18.46,8.08,-100.26,41.63,40.0,0,44.05,Fair
0.387,-95.83,-74.24,-19.5,9.03,-107.82,17.36,40.0,1,42.65,Fair
0.305,-92.59,-75.68,-17.53,5.63,-105.49,21.98,31.0,1,38.37,Fair
0.098,-86.2,-69.99,-17.21,13.02,-102.93,15.55,38.0,4,51.53,Fair
0.577,-104.54,-87.79,-16.75,-10.0,-99.06,30.78,37.0,5,24.17,Poor
0.148,-89.9,-75.22,-13.24,13.96,-111.62,24.59,29.0,4,56.1,Good
0.02,-69.57,-55.43,-14.02,24.43,-101.14,42.0,49.0,3,69.43,Good
0.467,-94.7,-81.64,-12.92,4.5,-104.26,25.87,42.0,2,45.93,Fair
0.088,-82.31,-68.3,-14.59,16.67,-105.5,27.33,33.0,1,47.81,Fair
1.269,-104.69,-81.8,-19.5,-10.0,-97.58,40.25,46.0,4,13.99,Poor
1.385,-108.18,-92.25,-16.06,-10.0,-97.3,71.55,65.0,4,22.83,Poor
1.109,-102.92,-93.74,-8.57,-10.0,-99.34,29.87,43.0,2,39.04,Fair
0.208,-84.47,-68.23,-16.24,14.6,-105.09,8.78,32.0,3,59.73,Good
0.02,-67.63,-54.4,-14.38,29.46,-102.54,29.64,42.0,2,67.15,Good
1.186,-102.25,-84.07,-17.71,-10.0,-94.37,65.78,58.0,2,20.29,Poor
0.252,-90.87,-73.01,-17.88,-0.38,-93.55,60.73,52.0,3,30.18,Poor
1.53,-113.71,-95.55,-18.82,-10.0,-96.19,58.37,58.0,2,15.25,Poor
1.491,-111.66,-93.78,-15.8,-10.0,-100.62,48.47,54.0,2,22.34,Poor
0.863,-100.91,,-15.52,-3.87,-103.7,23.91,28.0,5,40.33,Fair
0.157,-88.01,-74.38,-15.18,5.43,-97.79,41.92,35.0,1,45.15,Fair
0.219,-89.08,-71.31,-15.75,10.85,-106.21,26.78,36.0,4,44.01,Fair
0.857,-95.97,-74.91,-19.5,-10.0,-87.62,78.1,50.0,0,15.08,Poor
0.172,-85.83,-62.39,-19.5,-3.52,-87.4,79.37,76.0,1,33.18,Poor
0.084,-77.51,-60.22,-17.18,2.89,-87.8,88.38,84.0,1,37.63,Fair
0.366,-94.92,-77.31,-17.6,-0.22,-101.24,38.14,44.0,0,29.65,Poor
1.238,-109.09,-89.59,-19.5,-10.0,-99.38,48.74,56.0,0,10.72,Poor
0.536,-98.83,-76.35,-19.5,-10.0,-93.73,71.22,57.0,0,18.67,Poor
0.38,-98.83,-82.29,-17.33,1.02,-108.05,9.83,30.0,1,36.96,Fair
0.046,-71.21,-51.13,-19.5,28.21,-102.84,45.2,50.0,1,59.63,Good
0.43,-93.52,-77.99,-15.3,-6.43,-94.45,81.92,53.0,1,33.83,Poor
2.075,-108.26,-89.27,-19.5,-10.0,-100.51,35.56,36.0,3,19.68,Poor
0.068,-75.82,-54.91,-19.5,29.9,-111.27,21.17,30.0,2,62.28,Good
0.329,-102.44,-88.32,-14.01,-5.58,-103.69,26.31,34.0,3,32.19,Poor
0.944,-101.16,-84.73,-15.62,0.17,-101.78,22.61,36.0,6,36.88,Fair
0.608,-104.93,-84.06,-19.5,-10.0,-91.17,71.77,66.0,3,17.78,Poor
0.537,-98.65,-78.8,-19.5,4.55,-107.68,17.14,34.0,3,38.68,Fair
0.546,-100.0,-78.89,-19.5,-1.87,-104.15,30.75,38.0,1,32.0,Poor
0.2,-87.44,-66.89,-19.5,6.67,-98.65,54.47,44.0,2,35.95,Fair
0.156,-87.03,-70.05,-16.53,13.29,-102.82,12.93,16.0,7,62.98,Good
0.746,-96.08,-71.49,-19.5,1.02,-103.0,34.83,30.0,2,31.51,Poor
0.748,-103.89,-85.48,-16.72,-10.0,-94.52,72.22,56.0,4,18.5,Poor
0.908,-100.34,-91.5,-9.76,-3.81,-104.99,16.69,22.0,1,46.47,Fair
1.1,-104.19,-87.03,-17.63,-7.98,-99.12,22.32,35.0,1,28.36,Poor
0.322,-100.73,-84.14,-18.45,-5.43,-99.43,37.78,36.0,5,25.11,Poor
0.313,-97.62,-77.24,-19.5,-1.27,-100.03,41.1,44.0,4,28.51,Poor
0.72,-101.76,-85.12,-16.48,-2.58,-104.13,30.45,38.0,3,29.37,Poor
0.472,-93.05,-71.76,-19.5,2.74,-99.07,56.59,58.0,2,37.79,Fair
0.545,-96.88,-77.21,-19.5,-7.11,-91.02,62.52,58.0,4,22.56,Poor
0.715,-105.77,-90.77,-14.25,-10.0,-91.3,67.16,60.0,2,18.26,Poor
0.993,-104.51,-86.93,-18.06,-2.21,-104.98,39.45,40.0,2,34.36,Poor
0.186,-81.35,-65.67,-16.92,11.73,-98.84,43.76,48.0,2,49.23,Fair
0.212,-90.12,-71.57,-18.16,8.52,-101.02,54.76,42.0,2,39.84,Fair
0.044,-78.45,-62.8,-15.47,18.64,-99.25,34.82,,0,56.71,Good
0.389,-93.84,-75.62,-18.62,-0.29,-97.11,50.13,43.0,4,37.88,Fair
0.02,-67.39,-50.21,-17.39,29.94,-103.51,34.85,39.0,1,65.71,Good
0.282,-94.86,-77.32,-17.05,6.04,-105.57,39.51,37.0,1,36.45,Fair
0.352,-92.95,-68.79,-19.5,-3.92,-98.18,31.42,25.0,3,27.77,Poor
0.152,-89.01,-72.09,-17.39,0.22,-97.65,59.13,54.0,3,37.81,Fair
0.402,-93.23,-81.03,-10.45,1.9,-102.49,40.59,43.0,4,46.36,Fair
0.02,-69.77,-48.72,-19.5,30.0,-106.89,35.92,51.0,0,65.64,Good
0.02,-68.52,-47.49,-19.5,14.68,-87.92,91.4,63.0,0,51.67,Fair
0.778,-104.87,-92.81,-12.36,-9.04,-104.76,21.84,40.0,2,28.96,Poor
0.201,-93.39,-77.49,-13.32,10.16,-107.2,38.33,37.0,1,46.37,Fair
0.061,-76.09,-56.78,-19.5,21.06,-102.8,18.01,29.0,2,58.31,Good
0.332,-94.78,-75.2,-19.5,-4.78,-94.66,58.14,55.0,5,21.99,Poor
0.661,-99.28,-81.3,-18.64,1.79,-105.05,31.7,50.0,1,35.32,Fair
0.109,-86.09,-68.03,-19.5,8.26,-99.69,39.76,42.0,0,37.1,Fair
0.439,-93.27,-78.09,-14.01,-7.45,-90.54,54.24,75.0,1,35.78,Fair
